property_type,sector,bedroom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price
0,77,3,3,4,0,3,1845.0,0,0,2,2,1.8
0,101,3,3,3,1,4,866.6666666666666,0,0,0,2,1.32
0,94,4,4,3,2,4,3901.190476190476,1,1,2,2,2.91
0,105,3,2,2,2,3,1325.0,0,0,0,2,0.7
0,79,2,2,1,2,3,1000.0,0,0,0,1,0.45
0,1,2,2,2,2,4,1130.0,0,0,0,2,1.38
0,4,3,3,3,2,3,1314.5285714285717,1,0,0,2,1.35
0,36,2,2,2,1,3,777.7777777777777,0,0,0,1,0.25
0,44,2,2,3,2,1,542.8571428571428,0,0,0,2,0.55
1,47,5,4,3,2,4,146.0,0,0,0,1,0.8
1,50,1,1,0,1,0,1650.0,0,0,0,1,2.15
0,111,2,2,2,2,3,1318.2380952380952,0,0,2,0,0.78
0,97,3,4,4,2,3,2025.4444444444443,1,0,0,0,2.1
0,78,4,4,2,2,3,1818.5714285714284,0,0,0,2,1.7
1,79,5,3,2,1,2,1350.0,0,0,0,1,1.15
1,53,2,6,4,2,0,1728.0,0,0,1,2,4.6
1,50,9,9,4,2,3,2700.0,1,0,1,1,7.85
0,89,3,2,3,2,3,1570.0,0,0,0,1,1.7
0,105,2,2,3,0,4,1194.2857142857142,0,0,0,1,0.6
0,111,2,2,2,0,1,615.6950799999998,0,0,0,2,0.35
0,43,2,2,3,1,0,1068.1,0,0,2,2,0.78
1,25,1,1,0,1,0,900.0,0,0,0,1,0.7
0,103,3,3,4,1,3,1500.0,0,0,0,2,1.27
1,64,4,4,2,1,2,1728.0,1,1,0,2,3.6
0,59,3,3,3,2,0,2126.190476190476,1,0,0,1,1.85
0,8,3,4,4,0,3,1186.0,1,0,0,1,1.13
0,63,3,2,3,2,3,2250.0,0,0,2,2,2.11
0,60,3,4,3,2,2,3222.222222222222,1,0,2,1,5.0
0,69,2,2,2,2,1,1150.0,0,0,0,2,1.57
0,37,3,3,2,1,2,1400.7936507936506,0,0,0,1,1.3
0,96,3,3,4,0,3,1525.0,0,0,0,0,0.9
0,74,3,2,3,2,3,1700.0,1,0,2,0,2.4
